Role,Features
SEO Copywriter,"1 to 10 Years Copywriter MCA SEO (Search Engine Optimization) Keyword research SEO-friendly content On-page optimization Meta tags SEO tools (e.g., SEMrush) Write web content optimized for search engines (SEO), including blog posts, product descriptions, and meta tags. Conduct keyword research and on-page SEO optimization. Monitor SEO rankings and traffic. 119855"
Product Marketing Manager,"0 to 12 Years Marketing Manager BCA Product positioning and messaging Market research and analysis Product launch planning Competitive analysis Marketing collateral creation Pricing strategies Cross-functional collaboration Promote specific products or services through marketing plans, product messaging, and collaboration with sales teams. Conduct market research and competitor analysis. Create product launch plans. 58268"
Machine Learning Engineer,4 to 9 Years Data Scientist BA Machine learning algorithms Python programming Data preprocessing Deep learning Model evaluation Develop machine learning models and algorithms for data analysis and prediction. Preprocess and clean data for model training. Evaluate model performance and fine-tune parameters. 81941
Transportation Planner,1 to 14 Years Urban Planner BA Transportation planning Traffic engineering GIS proficiency Public transportation Project management Specialize in transportation infrastructure and traffic management. Design efficient transportation networks. Address traffic congestion and improve public transit systems. 102836
Digital Marketing Coordinator,"3 to 10 Years Marketing Coordinator B.Tech Digital marketing strategy development Social media advertising Email marketing Google Analytics and SEO Content management systems (CMS) proficiency Support digital marketing efforts, including social media management and email marketing. Create and schedule digital content. Analyze digital marketing analytics. 19148"
Water Resources Engineer,"5 to 9 Years Civil Engineer MBA Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management Focus on water-related projects, such as flood control, water supply, and wastewater treatment. Design and manage water resource systems and infrastructure. Address water quality and conservation issues. 110479"
Architectural Designer,"0 to 8 Years Architect MBA Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design Design architectural plans and layouts for buildings and structures. Create detailed drawings and blueprints. Ensure designs comply with building codes and regulations. 55307"
Frontend Developer,"4 to 13 Years Software Engineer M.Tech Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization Design and implement user interfaces for web applications using HTML, CSS, and JavaScript. Collaborate with UX designers to ensure a user-friendly experience. Optimize applications for speed and responsiveness. 105598"
Database Analyst,"4 to 12 Years Database Administrator M.Tech Data analysis Database querying and reporting Data visualization SQL proficiency Data quality assurance Analyze and interpret database performance data, identifying areas for improvement. Troubleshoot database issues and optimize query performance. Generate reports and insights from database data. 130862"
Content SEO Strategist,"0 to 8 Years SEO Specialist BBA Content strategy SEO content optimization Content marketing Keyword mapping Analytics Develop content strategies for SEO, including keyword integration and content optimization. Collaborate with content creators to align content with SEO goals. Track content performance and make improvements. 98868"
